Gene	hmC	Kme	Expr	Size
1_NM_001001130_23818	0.342364	0.387972	0.562945535966746	expr3
2_NM_001001144_16662	1.09501	0.927882	10.6244189482162	expr7
3_NM_001001152_23797	0.14429	0.375741	0	unexpr
4_NM_001001160_10503	0.991374	1.07919	0.0878474532737287	expr1
5_NM_001001176_17970	0.184586	0.202106	0.9731593253037	expr3
6_NM_001001177_28078	0.351389	0.411244	0	unexpr
7_NM_001001178_1650	0.328352	0.295332	0.0490132479669711	expr1
8_NM_001001179_10881	0.693106	0.55201	0	unexpr
9_NM_001001180_13669	0.533143	0.682877	3.73548640439016	expr5
